step,x,y,z
0,-4.0,0.9026566743850708,1.5
1,-4.0,0.9026566743850708,1.5
2,-4.0,0.9026566743850708,1.5
3,-4.0,0.9026566743850708,1.5
4,-4.0,0.9026566743850708,1.5
5,-4.0,0.9026566743850708,1.75
6,-4.0,0.9026566743850708,2.0
7,-4.0,0.9026566743850708,2.25
8,-4.0,0.9026566743850708,2.5
9,-4.0,0.9026566743850708,2.5
10,-3.75,0.9026566743850708,2.5
11,-3.5,0.9026566743850708,2.5
12,-3.25,0.9026566743850708,2.5
13,-3.0,0.9026566743850708,2.5
14,-2.75,0.9026566743850708,2.5
15,-2.5,0.9026566743850708,2.5
16,-2.25,0.9026566743850708,2.5
17,-2.0,0.9026566743850708,2.5
18,-1.75,0.9026566743850708,2.5
19,-1.5,0.9026566743850708,2.5
20,-1.5,0.9026566743850708,2.5
21,-1.5,0.9026566743850708,2.5
