step,x,y,z
0,-3.0,0.9070531129837036,2.75
1,-3.0,0.9070531129837036,2.75
2,-3.0,0.9070531129837036,2.75
3,-3.0,0.9070531129837036,2.75
4,-3.0,0.9070531129837036,2.75
5,-2.75,0.9070531129837036,2.75
6,-2.75,0.9070531129837036,2.75
7,-2.75,0.9070531129837036,3.0
8,-2.75,0.9070531129837036,3.25
9,-2.75,0.9070531129837036,3.5
10,-2.75,0.9070531129837036,3.75
11,-2.75,0.9070531129837036,4.0
12,-2.75,0.9070531129837036,4.0
13,-2.5,0.9070531129837036,4.0
14,-2.5,0.9070531129837036,4.0
15,-2.5,0.9070531129837036,4.25
16,-2.5,0.9070531129837036,4.25
17,-2.25,0.9070531129837036,4.25
18,-2.0,0.9070531129837036,4.25
19,-1.75,0.9070531129837036,4.25
20,-1.5,0.9070531129837036,4.25
21,-1.25,0.9070531129837036,4.25
22,-1.0,0.9070531129837036,4.25
23,-0.75,0.9070531129837036,4.25
24,-0.5,0.9070531129837036,4.25
25,-0.25,0.9070531129837036,4.25
26,-0.25,0.9070531129837036,4.25
27,-0.25,0.9070531129837036,4.0
28,-0.25,0.9070531129837036,3.75
29,-0.25,0.9070531129837036,3.5
30,-0.25,0.9070531129837036,3.25
31,-0.25,0.9070531129837036,3.0
32,-0.25,0.9070531129837036,2.75
33,-0.25,0.9070531129837036,2.5
34,-0.25,0.9070531129837036,2.25
35,-0.25,0.9070531129837036,2.0
36,-0.25,0.9070531129837036,1.75
37,-0.25,0.9070531129837036,1.5
38,-0.25,0.9070531129837036,1.25
39,-0.25,0.9070531129837036,1.0
40,-0.25,0.9070531129837036,0.75
41,-0.25,0.9070531129837036,0.75
